link,type,file,year,month,total_principal_funds
sf.citidirect.com/stfin/docs/187698/CertStmtCMLT06AMC11610.pdf,chs,CertStmtCMLT06AMC11610.pdf,16,10,1212197.61
sf.citidirect.com/stfin/docs/189497/CertStmtCMLT06AMC11611.pdf,chs,CertStmtCMLT06AMC11611.pdf,16,11,1374920.32
sf.citidirect.com/stfin/docs/192649/CertStmtCMLT06AMC11612.pdf,chs,CertStmtCMLT06AMC11612.pdf,16,12,39723396.86
sf.citidirect.com/stfin/docs/124622/CertStmtCMLT06AMC11501.pdf,chs,CertStmtCMLT06AMC11501.pdf,15,01,1366799.26
sf.citidirect.com/stfin/docs/126792/CertStmtCMLT06AMC11502.pdf,chs,CertStmtCMLT06AMC11502.pdf,15,02,866835.1
sf.citidirect.com/stfin/docs/128726/CertStmtCMLT06AMC11503.pdf,chs,CertStmtCMLT06AMC11503.pdf,15,03,1341003.5
sf.citidirect.com/stfin/docs/130681/CertStmtCMLT06AMC11504.pdf,chs,CertStmtCMLT06AMC11504.pdf,15,04,1729305.69
sf.citidirect.com/stfin/docs/132661/CertStmtCMLT06AMC11505.pdf,chs,CertStmtCMLT06AMC11505.pdf,15,05,991730.77
sf.citidirect.com/stfin/docs/134724/CertStmtCMLT06AMC11506.pdf,chs,CertStmtCMLT06AMC11506.pdf,15,06,1796111.62
sf.citidirect.com/stfin/docs/137323/CertStmtCMLT06AMC11507.pdf,chs,CertStmtCMLT06AMC11507.pdf,15,07,747965.26
sf.citidirect.com/stfin/docs/138998/CertStmtCMLT06AMC11508.pdf,chs,CertStmtCMLT06AMC11508.pdf,15,08,1142254.01
sf.citidirect.com/stfin/docs/140904/CertStmtCMLT06AMC11509.pdf,chs,CertStmtCMLT06AMC11509.pdf,15,09,1348249.56
sf.citidirect.com/stfin/docs/143268/CertStmtCMLT06AMC11510.pdf,chs,CertStmtCMLT06AMC11510.pdf,15,10,648482.68
sf.citidirect.com/stfin/docs/145399/CertStmtCMLT06AMC11511.pdf,chs,CertStmtCMLT06AMC11511.pdf,15,11,1906841.4
sf.citidirect.com/stfin/docs/147785/CertStmtCMLT06AMC11512.pdf,chs,CertStmtCMLT06AMC11512.pdf,15,12,934245.78
sf.citidirect.com/stfin/docs/104849/CertStmtCMLT06AMC11401.pdf,chs,CertStmtCMLT06AMC11401.pdf,14,01,1870376.86
sf.citidirect.com/stfin/docs/106206/CertStmtCMLT06AMC11402.pdf,chs,CertStmtCMLT06AMC11402.pdf,14,02,1553893.27
sf.citidirect.com/stfin/docs/107555/CertStmtCMLT06AMC11403.pdf,chs,CertStmtCMLT06AMC11403.pdf,14,03,1219355.62
sf.citidirect.com/stfin/docs/109409/CertStmtCMLT06AMC11404.pdf,chs,CertStmtCMLT06AMC11404.pdf,14,04,568524.96
sf.citidirect.com/stfin/docs/110863/CertStmtCMLT06AMC11405.pdf,chs,CertStmtCMLT06AMC11405.pdf,14,05,1418620.92
sf.citidirect.com/stfin/docs/112273/CertStmtCMLT06AMC11406.pdf,chs,CertStmtCMLT06AMC11406.pdf,14,06,600108.41
sf.citidirect.com/stfin/docs/114459/CertStmtCMLT06AMC11407.pdf,chs,CertStmtCMLT06AMC11407.pdf,14,07,1098219.82
sf.citidirect.com/stfin/docs/115546/CertStmtCMLT06AMC11408.pdf,chs,CertStmtCMLT06AMC11408.pdf,14,08,1651359.83
sf.citidirect.com/stfin/docs/117416/CertStmtCMLT06AMC11409.pdf,chs,CertStmtCMLT06AMC11409.pdf,14,09,752122.16
sf.citidirect.com/stfin/docs/119040/CertStmtCMLT06AMC11410.pdf,chs,CertStmtCMLT06AMC11410.pdf,14,10,1182650.63
sf.citidirect.com/stfin/docs/120780/CertStmtCMLT06AMC11411.pdf,chs,CertStmtCMLT06AMC11411.pdf,14,11,467702.18
sf.citidirect.com/stfin/docs/122990/CertStmtCMLT06AMC11412.pdf,chs,CertStmtCMLT06AMC11412.pdf,14,12,319113.27
sf.citidirect.com/stfin/docs/88621/CertStmtCMLT06AMC11301.pdf,chs,CertStmtCMLT06AMC11301.pdf,13,01,2412342.87
sf.citidirect.com/stfin/docs/89955/CertStmtCMLT06AMC11302.pdf,chs,CertStmtCMLT06AMC11302.pdf,13,02,1468767.92
sf.citidirect.com/stfin/docs/90932/CertStmtCMLT06AMC11303.pdf,chs,CertStmtCMLT06AMC11303.pdf,13,03,1040158.02
sf.citidirect.com/stfin/docs/92527/CertStmtCMLT06AMC11304.pdf,chs,CertStmtCMLT06AMC11304.pdf,13,04,1858454.62
sf.citidirect.com/stfin/docs/93586/CertStmtCMLT06AMC11305.pdf,chs,CertStmtCMLT06AMC11305.pdf,13,05,915867.96
sf.citidirect.com/stfin/docs/94861/CertStmtCMLT06AMC11306.pdf,chs,CertStmtCMLT06AMC11306.pdf,13,06,1980856.77
sf.citidirect.com/stfin/docs/96246/CertStmtCMLT06AMC11307.pdf,chs,CertStmtCMLT06AMC11307.pdf,13,07,1049165.23
sf.citidirect.com/stfin/docs/97570/CertStmtCMLT06AMC11308.pdf,chs,CertStmtCMLT06AMC11308.pdf,13,08,1340621.39
sf.citidirect.com/stfin/docs/98999/CertStmtCMLT06AMC11309.pdf,chs,CertStmtCMLT06AMC11309.pdf,13,09,517885.33
sf.citidirect.com/stfin/docs/100490/CertStmtCMLT06AMC11310.pdf,chs,CertStmtCMLT06AMC11310.pdf,13,10,986255.53
sf.citidirect.com/stfin/docs/101736/CertStmtCMLT06AMC11311.pdf,chs,CertStmtCMLT06AMC11311.pdf,13,11,663120.02
sf.citidirect.com/stfin/docs/103129/CertStmtCMLT06AMC11312.pdf,chs,CertStmtCMLT06AMC11312.pdf,13,12,935374.35
sf.citidirect.com/stfin/docs/75060/CertStmtCMLT06AMC11201.pdf,chs,CertStmtCMLT06AMC11201.pdf,12,01,1414209.51
sf.citidirect.com/stfin/docs/76336/CertStmtCMLT06AMC11202.pdf,chs,CertStmtCMLT06AMC11202.pdf,12,02,1317724.95
sf.citidirect.com/stfin/docs/77373/CertStmtCMLT06AMC11203.pdf,chs,CertStmtCMLT06AMC11203.pdf,12,03,1244743.84
sf.citidirect.com/stfin/docs/78242/CertStmtCMLT06AMC11204.pdf,chs,CertStmtCMLT06AMC11204.pdf,12,04,1508303.87
sf.citidirect.com/stfin/docs/79482/CertStmtCMLT06AMC11205.pdf,chs,CertStmtCMLT06AMC11205.pdf,12,05,390994.65
sf.citidirect.com/stfin/docs/80700/CertStmtCMLT06AMC11206.pdf,chs,CertStmtCMLT06AMC11206.pdf,12,06,2496260.34
sf.citidirect.com/stfin/docs/81860/CertStmtCMLT06AMC11207.pdf,chs,CertStmtCMLT06AMC11207.pdf,12,07,978984.37
sf.citidirect.com/stfin/docs/82814/CertStmtCMLT06AMC11208.pdf,chs,CertStmtCMLT06AMC11208.pdf,12,08,1624570.4
sf.citidirect.com/stfin/docs/83752/CertStmtCMLT06AMC11209.pdf,chs,CertStmtCMLT06AMC11209.pdf,12,09,1730834.56
sf.citidirect.com/stfin/docs/84986/CertStmtCMLT06AMC11210.pdf,chs,CertStmtCMLT06AMC11210.pdf,12,10,1534320.89
sf.citidirect.com/stfin/docs/86196/CertStmtCMLT06AMC11211.pdf,chs,CertStmtCMLT06AMC11211.pdf,12,11,2595066.94
